prompt_mode,variant,candidate_count,duplicate_rate,parent_repeat_rate,type_violation_rate,unaligned_rate,depth_violation_rate,valid_rate,soft_valid_rate,selected_rate
few,baseline,2863,0.0013971358714634998,0.0,0.11526370939573874,0.7017114914425427,0.48620328326929796,0.15543136570031435,0.8836884387006636,0.5029689137268599
few,soft_validation,2863,0.0013971358714634998,0.0,0.11526370939573874,0.7017114914425427,0.48620328326929796,0.15543136570031435,0.8836884387006636,0.43904994760740484
few,soft_validation_rerank,2863,0.0013971358714634998,0.0,0.11526370939573874,0.7017114914425427,0.48620328326929796,0.15543136570031435,0.8836884387006636,0.43904994760740484
few,validation,2863,0.0013971358714634998,0.0,0.11526370939573874,0.7017114914425427,0.48620328326929796,0.15543136570031435,0.8836884387006636,0.13272790778903248
few,validation_rerank,2863,0.0013971358714634998,0.0,0.11526370939573874,0.7017114914425427,0.48620328326929796,0.15543136570031435,0.8836884387006636,0.13272790778903248
rag,baseline,2879,0.010072941993747829,0.0,0.1337269885376867,0.6436262591177492,0.4821118443904133,0.16290378603681835,0.8579367836054186,0.5001736714136853
rag,soft_validation,2879,0.010072941993747829,0.0,0.1337269885376867,0.6436262591177492,0.4821118443904133,0.16290378603681835,0.8579367836054186,0.41611670718999655
rag,soft_validation_rerank,2879,0.010072941993747829,0.0,0.1337269885376867,0.6436262591177492,0.4821118443904133,0.16290378603681835,0.8579367836054186,0.41611670718999655
rag,validation,2879,0.010072941993747829,0.0,0.1337269885376867,0.6436262591177492,0.4821118443904133,0.16290378603681835,0.8579367836054186,0.136158388329281
rag,validation_rerank,2879,0.010072941993747829,0.0,0.1337269885376867,0.6436262591177492,0.4821118443904133,0.16290378603681835,0.8579367836054186,0.136158388329281
zero,baseline,2880,0.0020833333333333333,0.0,0.10833333333333334,0.7222222222222222,0.48819444444444443,0.13680555555555557,0.8895833333333333,0.5
zero,soft_validation,2880,0.0020833333333333333,0.0,0.10833333333333334,0.7222222222222222,0.48819444444444443,0.13680555555555557,0.8895833333333333,0.44513888888888886
zero,soft_validation_rerank,2880,0.0020833333333333333,0.0,0.10833333333333334,0.7222222222222222,0.48819444444444443,0.13680555555555557,0.8895833333333333,0.44513888888888886
zero,validation,2880,0.0020833333333333333,0.0,0.10833333333333334,0.7222222222222222,0.48819444444444443,0.13680555555555557,0.8895833333333333,0.12430555555555556
zero,validation_rerank,2880,0.0020833333333333333,0.0,0.10833333333333334,0.7222222222222222,0.48819444444444443,0.13680555555555557,0.8895833333333333,0.12430555555555556
